PVT Corner,wns,tns,worst setup_slack,worst hold_slack
ff_100C_1v65,0.0000,0.0000,8.1492,0.2420
ff_100C_1v95,0.0000,0.0000,8.7934,0.1908
ff_n40C_1v56,0.0000,0.0000,7.2956,0.2826
ff_n40C_1v65,0.0000,0.0000,7.8040,0.2480
ff_n40C_1v76,0.0000,0.0000,8.2556,0.2181
ff_n40C_1v95,0.0000,0.0000,8.7662,0.1830
ss_100C_1v40,-0.2358,-2.0301,-0.2358,0.8837
ss_100C_1v60,0.0000,0.0000,3.4392,0.6248
ss_n40C_1v28,-20.6314,-5931.2665,-20.6314,1.7412
ss_n40C_1v35,-10.5149,-1978.3618,-10.5149,1.2904
ss_n40C_1v40,-6.2424,-719.8147,-6.2424,1.0794
ss_n40C_1v44,-3.7143,-141.6296,-3.7143,0.9505
ss_n40C_1v60,0.0000,0.0000,1.9097,0.6403
ss_n40C_1v76,0.0000,0.0000,4.5674,0.4803
tt_025C_1v80,0.0000,0.0000,7.2418,0.3021
tt_100C_1v80,0.0000,0.0000,7.3515,0.3073
