PVT Corner,wns,tns,worst setup_slack,worst hold_slack
ff_100C_1v65,0.0000,0.0000,8.1790,0.2474
ff_100C_1v95,0.0000,0.0000,8.8194,0.1956
ff_n40C_1v56,0.0000,0.0000,7.3283,0.2896
ff_n40C_1v65,0.0000,0.0000,7.8380,0.2544
ff_n40C_1v76,0.0000,0.0000,8.2878,0.2226
ff_n40C_1v95,0.0000,0.0000,8.7947,0.1858
ss_100C_1v40,-0.1643,-1.3671,-0.1643,0.8811
ss_100C_1v60,0.0000,0.0000,3.4928,0.6241
ss_n40C_1v28,-20.4872,-5869.9416,-20.4872,1.7671
ss_n40C_1v35,-10.3849,-1936.8119,-10.3849,1.2989
ss_n40C_1v40,-6.1315,-685.8148,-6.1315,1.0878
ss_n40C_1v44,-3.6259,-126.4531,-3.6259,0.9571
ss_n40C_1v60,0.0000,0.0000,1.9735,0.6399
ss_n40C_1v76,0.0000,0.0000,4.6078,0.4851
tt_025C_1v80,0.0000,0.0000,7.2714,0.3089
tt_100C_1v80,0.0000,0.0000,7.3793,0.3138
