PVT Corner,wns,tns,worst setup_slack,worst hold_slack
ff_100C_1v65,0.0000,0.0000,6.7602,0.2359
ff_100C_1v95,0.0000,0.0000,7.7616,0.1865
ff_n40C_1v56,0.0000,0.0000,5.2689,0.2714
ff_n40C_1v65,0.0000,0.0000,6.1195,0.2391
ff_n40C_1v76,0.0000,0.0000,6.8545,0.2119
ff_n40C_1v95,0.0000,0.0000,7.6646,0.1790
ss_100C_1v40,-4.9018,-634.1937,-4.9018,0.8589
ss_100C_1v60,0.0000,0.0000,0.3532,0.6090
ss_n40C_1v28,-36.4646,-15571.3842,-36.4646,1.6141
ss_n40C_1v35,-21.0159,-7570.3088,-21.0159,1.2081
ss_n40C_1v40,-14.4805,-4178.0290,-14.4805,1.0158
ss_n40C_1v44,-10.7179,-2403.8695,-10.7179,0.8999
ss_n40C_1v60,-2.2383,-98.8691,-2.2383,0.6084
ss_n40C_1v76,0.0000,0.0000,1.6361,0.4601
tt_025C_1v80,0.0000,0.0000,5.6142,0.2925
tt_100C_1v80,0.0000,0.0000,5.8086,0.2985
