PVT Corner,WNS (Week 3),WNS (Week 8),WNS Δ,TNS (Week 3),TNS (Week 8),TNS Δ,WHS (Week 3),WHS (Week 8),WHS Δ,THS (Week 3),THS (Week 8),THS Δ
tt_025C_1v80,0.0,5.614169129586344,N/A,0.0,0.0,N/A,0.27,2.9248514721302854,2.6548514721302854,0,0.0,N/A
tt_100C_1v80,0.0,5.808608261048676,N/A,0.0,0.0,N/A,0.28,2.9846924931575813,2.704692493157581,0,0.0,N/A
ff_100C_1v65,0.0,6.760198623112501,N/A,0.0,0.0,N/A,0.21,2.3589785680400155,2.1489785680400155,0,0.0,N/A
ff_100C_1v95,0.0,7.76156738879763,N/A,0.0,0.0,N/A,0.16,1.86527959744609,1.7052795974460901,0,0.0,N/A
ff_n40C_1v56,0.0,5.268936842384164,N/A,0.0,0.0,N/A,0.25,2.7138924441061363,2.4638924441061363,0,0.0,N/A
ff_n40C_1v65,0.0,6.119451168018486,N/A,0.0,0.0,N/A,0.22,2.390526665507764,2.1705266655077637,0,0.0,N/A
ff_n40C_1v76,0.0,6.854450784743449,N/A,0.0,0.0,N/A,0.19,2.119233122321873,1.929233122321873,0,0.0,N/A
ff_n40C_1v95,0.0,7.664580081723216,N/A,0.0,0.0,N/A,0.15,1.7900064763765045,1.6400064763765045,0,0.0,N/A
ss_100C_1v40,-12.01,-4.901785644051415,7.108214355948585,-8939.03,-6.341936682474625,8932.688063317526,0.87,8.588898481320939,7.718898481320939,0,0.0,N/A
ss_100C_1v60,-4.9,3.53189477664273,8.43189477664273,-3226.82,0.0,3226.82,0.6,6.090303816819187,5.490303816819187,0,0.0,N/A
ss_n40C_1v28,-56.02,-3.646461976813953,52.37353802318605,-48146.38,-1.557138421048876,48144.82286157895,1.79,1.6140693226418534,-0.1759306773581466,0,0.0,N/A
ss_n40C_1v35,-35.33,-2.10158539459826,33.22841460540174,-29840.24,-7.570308753201971,29832.6696912468,1.31,1.2080831890415311,-0.10191681095846894,0,0.0,N/A
ss_n40C_1v40,-27.19,-1.4480515453385578,25.741948454661443,-22478.11,-4.178029030299513,22473.9319709697,1.09,1.0158196506182549,-0.07418034938174523,0,0.0,N/A
ss_n40C_1v44,-22.92,-1.0717863929698979,21.848213607030104,-18685.89,-2.4038695300987456,18683.4861304699,0.95,8.999265777021037,8.049265777021038,0,0.0,N/A
ss_n40C_1v60,-10.42,-2.2383312980878145,8.181668701912185,-7745.99,-9.886905161238246,7736.1030948387615,0.63,6.08410433144968,5.45410433144968,0,0.0,N/A
ss_n40C_1v76,-5.3,1.6360788279712324,6.936078827971232,-3422.34,0.0,3422.34,0.46,4.601310443774764,4.141310443774764,0,0.0,N/A
